seed,N_train,method,mlp_width,mlp_depth,mlp_lr,mlp_epochs,train_mse,test_mse_vs_f,max_error_vs_f,mse_vs_closed_form,max_error_vs_closed_form,L_hat,L_used
15,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,7.650248418980673e-07,6.542366068692385e-06,0.023155571252138407,6.253234551776951e-05,0.03767584075659847,5.207480466716713,5.728228513388385
16,200,Closed-form,,,,,0.0,4.6398811220925055e-05,0.03246095084312495,0.0,0.0,5.207237326020943,5.727961058623038
16,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,1.162023862128747e-06,2.2966852183463657e-06,0.009691776067049296,4.7724154430497306e-05,0.03359391988354332,5.207237326020943,5.727961058623038
17,200,Closed-form,,,,,0.0,3.215375455855233e-05,0.022794269085198042,0.0,0.0,5.206007455010525,5.726608200511578
17,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,5.263676741404283e-06,6.738848725347716e-06,0.008915434344151874,3.8711878394950014e-05,0.027198953955927918,5.206007455010525,5.726608200511578
18,200,Closed-form,,,,,0.0,4.9036471090895164e-05,0.036475178490184,0.0,0.0,5.202460812911668,5.722706894202835
18,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,1.2871764615588128e-06,1.7785267680021414e-06,0.009064109355241934,4.892593990804678e-05,0.03809526485416148,5.202460812911668,5.722706894202835
19,200,Closed-form,,,,,0.0,3.444073189630746e-05,0.02857691900524681,0.0,0.0,5.195846444538575,5.715431088992434
19,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,9.595557009485874e-07,3.573231753436163e-06,0.019807697564394267,3.762322507268491e-05,0.028946822561099095,5.195846444538575,5.715431088992434
0,1000,Closed-form,,,,,0.0,2.247573393907466e-06,0.008393965876005716,0.0,0.0,5.2078536849841885,5.728639053482608
0,1000,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,1.3747605794739282e-05,1.6633771816460584e-05,0.022059143811495097,1.8966300610273898e-05,0.02189092087304345,5.2078536849841885,5.728639053482608
1,1000,Closed-form,,,,,0.0,2.059272602179527e-06,0.00998169714030464,0.0,0.0,5.207711290507376,5.728482419558114
1,1000,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,8.745163282065533e-06,1.0886990980584116e-05,0.031818331509859354,1.2814118168924296e-05,0.03008501929512164,5.207711290507376,5.728482419558114
2,1000,Closed-form,,,,,0.0,1.6287491711849659e-06,0.0063829284415215515,0.0,0.0,5.207683463445776,5.7284518097903545
